Data di inserimento,Termine,Accento,Definizione,"Sinonimi (facoltativo, separa con ;)","Contrari (facoltativo, separa con ;)",Etimologia,Esempio 1,Esempio 2,Esempio 3,Frequenza d'uso,Linguaggio tecnico,Errori,APPRESO
,Malioso,malióso,"Che ha forza di malia; incantatore, affascinante.",Incantatore; affascinante; seducente,Sgradevole; respingente,"Derivato da ""malia"".",Voce maliosa.,Atmosfera maliosa e suggestiva.,Occhi maliosi.,Molto bassa,Letterario,Nessuno,No
,Malleabile,malleàbile,"Che si può lavorare col martello (metallo); figurato: docile, influenzabile.",Plasmabile; lavorabile; (fig) docile; arrendevole,Rigido; duro; ostinato; intrattabile,"Dal latino ""malleus"" (martello).",L'oro è molto malleabile.,Un carattere dolce e malleabile.,Bambino poco malleabile.,Media,Tecnico / Comune,Maleabile (una l),No
,Malmostoso,malmostóso,"Scontroso, imbronciato, scorbutico (regionalismo settentrionale).",Scontroso; imbronciato; scorbutico; intrattabile,Affabile; cordiale; socievole; allegro,"Dal lombardo ""malmostos"" (cattivo mosto/umore).",Oggi sei proprio malmostoso.,Rispondere in modo malmostoso.,Faccia malmostosa.,Bassa (Regionale),Colloquiale (Nord Italia),Nessuno,No
,Maltolto,maltòlto,Ciò che è stato tolto o preso indebitamente (refurtiva o tasse ingiuste).,Ruberia; refurtiva; bottino; rapina,Restituzione; dono,"Composto da ""male"" e ""tolto"".",Restituire il maltolto.,Godersi il maltolto.,Recuperare il maltolto.,Bassa,Comune,Maltolto (scritto staccato mal tolto),No
,Malvezzo,malvézzo,"Cattiva abitudine, vizio.",Vizio; cattiva abitudine; difetto,Virtù; pregio; buona abitudine,"Composto da ""male"" e ""vezzo"".",Ha il malvezzo di interrompere mentre parlo.,Correggere i malvezzi.,È un antico malvezzo della politica.,Bassa,Letterario / Formale,Nessuno,No
,Mammola,màmmola,Varietà di viola molto profumata; (fig.) persona timida e ingenua.,Viola; (fig) ingenua; timida; santerella,Sfacciata; scaltra; maliziosa,Diminutivo latino.,Fare la mammola (fingere innocenza).,Profumo di mammola.,Non fare la mammola con me!,Bassa,Botanica / Modismo,Nessuno,No
,Manicheo,manichèo,"Seguace del Manicheismo; figurato: chi vede tutto in bianco e nero (bene vs male), dogmatico.",Dualista; dogmatico; rigido; settario,Sfumato; critico; flessibile; dialettico,Dal profeta Mani.,Visione manichea della realtà.,Non essere così manicheo nei tuoi giudizi.,Dualismo manicheo.,Bassa,Filosofia / Comune,Nessuno,No
,Mannello,mannèllo,"Fascio di spighe, lino o canapa (quantità che sta in una mano).",Fascio (di spighe); manciata; mazzo,-,"Diminutivo di ""mano"".",Raccogliere il grano in mannelli.,Legare i mannelli.,Un mannello di lino.,Molto bassa,Agricolo,Manello (variante frequente),No
,Manteca,mantèca,Pomata per capelli; sostanza grassa e untuosa; burro (dialettale/spagnolismo).,Burro; grasso; pomata; lardo,-,"Dallo spagnolo ""manteca"" (burro/lardo).",Avere i capelli pieni di manteca.,Mantecare il risotto (da qui deriva).,Uso regionale o arcaico.,Bassa,Gastronomia / Cosmesi,Nessuno,No
,Marachella,marachèlla,"Azione scorretta ma lieve, fatta per scherzo o monelleria.",Monelleria; scappatella; birichinata; scherzo,Buona azione; merito; serietà,"Forse dall'ebraico ""meraghel"" (spia) attraverso il gergo furbesco.",Ha combinato una delle sue marachelle.,Perdonare una marachella ai bambini.,Scoprire la marachella.,Media,Comune,Nessuno,No
,Martingala,martingàla,Mezza cintura posteriore di cappotti; sistema di scommesse al raddoppio.,Cintura posteriore; (gioco) raddoppio,-,"Dal francese ""martingale"" (calze alla provenzale).",Cappotto con la martingala.,Giocare alla roulette usando la martingala.,La martingala impedisce al tessuto di allargarsi.,Bassa,Sartoria / Gioco,Nessuno,No
,Masnada,masnàda,Gruppo di persone disoneste o rumorose; anticamente: servi della casa.,Banda; combriccola; orda; torma,-,"Dal provenzale ""maisnada"" (della casa).",Una masnada di ladroni.,Arrivò con la sua masnada di amici chiassosi.,Masnadieri (briganti).,Bassa,Letterario / Spregiativo,Nessuno,No
,Meditabondo,meditabóndo,"Che è assorto in meditazione, pensoso, cupo.",Pensoso; assorto; riflessivo; contemplativo,Distratto; sventato; spensierato,"Dal latino ""meditabundus"".",Passeggiava meditabondo nel giardino.,Sguardo meditabondo.,Stare in silenzio meditabondo.,Bassa,Letterario,Nessuno,No
,Mefitico,mefìtico,"Che emana esalazioni pestilenziali; irrespirabile, puzzolente.",Pestilenziale; puzzolente; fetido; malsano,Profumato; salubre; puro; balsamico,"Dal nome della dea ""Mefite"" (esalazioni solforose).",Aria mefitica della palude.,Un ambiente morale mefitico (corrotto).,Odore mefitico.,Bassa,Letterario / Ecologico,Nessuno,No
,Megalopoli,megalòpoli,"Città di dimensioni enormi, agglomerato urbano vastissimo.",Metropoli gigante; conurbazione,Borgo; villaggio; paesino,"Dal greco ""megale"" (grande) e ""polis"" (città).",Tokyo è una megalopoli.,Vivere in una caotica megalopoli.,Problemi delle megalopoli.,Media,Geografia,Megaloppoli (doppia p errata),No
,Melenso,melènso,"Sciocco, tonto, insulso; stucchevole.",Sciocco; tonto; insulso; stucchevole,Sveglio; acuto; brillante; interessante,Etimologia incerta.,Un ragazzo un po' melenso.,Film romantico melenso e banale.,Discorso melenso.,Bassa,Comune,Nessuno,No
,Mellifluo,mellìfluo,Che scorre come il miele; dolce in modo stucchevole o falso/ipocrita.,Dolce; soave; (fig) viscido; ipocrita,Aspro; rude; sincero; schietto,"Dal latino ""mel"" (miele) e ""fluere"" (scorrere).",Voce melliflua e ingannevole.,Sorriso mellifluo.,Persona viscida e melliflua.,Media,Letterario / Comune,Melifluo (una l),No
,Memorandum,memoràndum,Nota scritta per ricordare qualcosa; documento diplomatico; promemoria.,Promemoria; nota; appunto; documento,-,"Latino ""memorandum"" (ciò che deve essere ricordato).",Scrivere un memorandum d'intesa.,Inviare un memorandum ai dipendenti.,Consultare il memorandum.,Media,Burocratico / Aziendale,Nessuno,No
,Mena,ména,"Intrigo, maneggio segreto (spesso al plurale ""le mene""); (Gergo) percosse.",Intrigo; maneggio; trama; (slang) botte,Chiarezza; trasparenza,"Derivato da ""menare"".",Le oscure mene dei congiurati.,Sventare le mene del nemico.,"(Slang) ""Fare la mena"" (picchiare/fare i duri).",Bassa,Letterario / Gergo,Nessuno,No
,Mendace,mendàce,"Bugiardo, falso, ingannevole.",Bugiardo; falso; menzognero; ingannevole,Veritiero; sincero; onesto; vero,"Dal latino ""mendax"".",Dichiarazione mendace (reato).,Pubblicità mendace.,Lingua mendace.,Bassa,Giuridico / Letterario,Nessuno,No
,Meretrice,meretrìce,"Prostituta (termine colto, burocratico o spregiativo).",Prostituta; lucciola; donna di vita,-,"Dal latino ""meretrix"" (da merere, guadagnare).",La meretrice di Babilonia.,Frequentare meretrici.,Termine aulico per prostituta.,Bassa,Letterario / Arcaico,Nessuno,No
,Meridiano,meridiàno,Semicirconferenza immaginaria che passa per i poli; relativo al mezzogiorno.,(Geog) Linea polare; di mezzogiorno,-,"Dal latino ""meridianus"".",Il meridiano di Greenwich (meridiano zero).,Sonno meridiano (pomeridiano).,Meridiane (orologi solari).,Media,Geografia,Nessuno,No
,Meschino,meschìno,"Povero (antico); gretto, vile, di animo basso; scarso.",Gretto; vile; povero; miserabile,Generoso; nobile; ricco; magnanimo,"Dall'arabo ""miskin"" (povero).",Un uomo meschino e avaro.,Comportamento meschino.,Stipendio meschino (scarso).,Media,Comune,Meschina (femminile nell'input),No
,Mestizia,mestìzia,"Tristezza profonda, malinconia silenziosa e grave.",Tristezza; malinconia; afflizione; dolore,Allegria; gioia; felicità; esultanza,"Dal latino ""maestitia"".",Un velo di mestizia nei suoi occhi.,La mestizia dell'autunno.,Suscitare mestizia.,Bassa,Letterario,Nessuno,No
,Mesto,mésto,"Triste, afflitto, malinconico.",Triste; afflitto; malinconico; cupo,Allegro; lieto; felice; radioso,"Dal latino ""maestus"".",Un sorriso mesto.,Ritorno mesto a casa.,Volto mesto.,Media,Letterario,Nessuno,No
,Metacognizione,metacognizióne,La consapevolezza e il controllo dei propri processi cognitivi (imparare a imparare).,Consapevolezza cognitiva; auto-riflessione,-,"Composto da ""meta-"" (oltre) e ""cognizione"".",Sviluppare abilità di metacognizione negli studenti.,Riflettere su come si studia è metacognizione.,Strategie metacognitive.,Bassa,Psicologia / Pedagogia,Nessuno,No
,Metempsicosi,metempsicòsi,Dottrina della transmigrazione delle anime in altri corpi dopo la morte.,Reincarnazione; trasmigrazione delle anime,-,"Dal greco ""metempsychosis"".",I pitagorici credevano nella metempsicosi.,Reincarnazione e metempsicosi.,Il ciclo della metempsicosi.,Bassa,Filosofia / Religione,Metempsicolsi (errato),No
,Metonimia,metonimìa,"Figura retorica: sostituzione di una parola con un'altra contigua (es. ""bere un bicchiere"").",(Retorica) Scambio di nome; figura retorica,-,"Dal greco ""metonymia"" (scambio di nome).",Leggere Dante (l'opera di Dante) è una metonimia.,La Casa Bianca ha deciso (il Presidente).,Confusa spesso con la sineddoche.,Bassa,Retorica,Nessuno,No
,Miasma,miàsma,"Esalazione malsana, fetore proveniente da sostanze in decomposizione.",Esalazione; fetore; puzza; contaminazione,Profumo; aroma; fragranza,"Dal greco ""miasma"" (contaminazione).",I miasmi della palude.,Respirare miasmi tossici.,Figurato: miasmi di corruzione.,Bassa,Medico / Letterario,Nessuno,No
,Micragnoso,micragnóso,"Tirchio, spilorcio; che denota miseria o grettezza.",Tirchio; spilorcio; avaro; gretto,Generoso; prodigo; largo; spendaccione,"Derivato da ""micragna"" (miseria/emicrania metaforica).",Un vecchio micragnoso che non spende un soldo.,Stipendio micragnoso.,Fare una vita micragnosa.,Bassa,Colloquiale,"Micranioso (non esiste, probabile incrocio)",No
,Misandria,misandrìa,Avversione o odio patologico verso il sesso maschile (opposto di misoginia).,Odio per gli uomini (maschi),Misoginia; filandria,"Composto dal greco ""misos"" (odio) e ""aner"" (uomo).",Accusare di misandria le femministe radicali.,La misandria è meno discussa della misoginia.,Sentimenti di misandria.,Bassa,Sociologia / Psicologia,Nessuno,No
,Misdirection,misdirèction,Tecnica (illusionismo/narrativa) per distogliere l'attenzione dal punto cruciale.,Sviamento; distrazione; diversivo,-,"Dall'inglese ""misdirection"" (sviamento).",Il mago usa la misdirection per nascondere il trucco.,Un colpo di scena basato sulla misdirection.,Politica della misdirection.,Bassa,Spettacolo / Inglesismo,Nessuno,No
,Misofonia,misofonìa,"Intolleranza forte a suoni specifici (es. masticare, ticchettare).",Intolleranza ai suoni; fastidio acustico,-,"Composto da ""misos"" (odio) e ""phone"" (suono).",Soffrire di misofonia quando qualcuno mangia la mela.,La misofonia provoca rabbia irrazionale.,Disturbo da misofonia.,Molto bassa,Psicologia,Nessuno,No
,Misogamia,misogamìa,Avversione morbosa verso il matrimonio.,Odio per il matrimonio,-,"Composto da ""misos"" (odio) e ""gamos"" (nozze).",La sua misogamia gli impedì di sposarsi.,Scapolo convinto per misogamia.,Dichiararsi misogamo.,Molto bassa,Psicologia,Nessuno,No
,Misoneista,misoneìsta,Chi odia le novità e il progresso; conservatore estremo.,Conservatore; reazionario; passatista,Innovatore; progressista; modernista,"Derivato da ""misoneismo"" (odio del nuovo).",Un vecchio misoneista attaccato al passato.,Atteggiamento misoneista verso la tecnologia.,Il misoneismo frena l'innovazione.,Bassa,Colto,Nessuno,No
,Monade,mònade,Unità semplice e indivisibile; (Filosofia) sostanza elementare nell'universo di Leibniz.,Unità indivisibile; (Filos) sostanza semplice,-,"Dal greco ""monas"" (unità).",Le monadi di Leibniz non hanno finestre.,Ognuno è una monade chiusa in se stessa.,L'uomo come monade isolata.,Molto bassa,Filosofia,Nessuno,No
,Monopsonio,monopsònio,Mercato con un solo compratore e molti venditori (opposto di monopolio).,Mercato con un solo compratore,Monopolio (un solo venditore),"Dal greco ""monos"" (solo) e ""opsonia"" (acquisto).",Il mercato del lavoro statale è spesso un monopsonio.,Potere di monopsonio della grande distribuzione.,Il monopsonio abbassa i prezzi ai fornitori.,Molto bassa,Economia,Nessuno,No
,Moratoria,moratòria,"Sospensione legale di una scadenza o di un'attività (es. nucleare, pena di morte).",Sospensione; dilazione; pausa; tregua,Scadenza; termine; ripresa; continuazione,"Derivato dal latino ""morari"" (ritardare).",Chiedere una moratoria sui debiti.,Moratoria internazionale sulla caccia alle balene.,Concedere una moratoria.,Media,Politico / Economico,Nessuno,No
,Mortifero,mortìfero,"Che causa la morte, letale; noioso a morte.",Letale; mortale; funesto; (fig) noiosissimo,Vitale; vivificante; divertente,"Dal latino ""mortifer"".",Veleno mortifero.,Sguardo mortifero.,Una lezione mortifera (noiosa).,Bassa,Letterario,Nessuno,No
,Mugghiante,mugghiànte,Che emette un verso cupo e prolungato (come il vento o il mare in tempesta).,Che muggisce; rumoroso; cupo; strepitante,Silenzioso; quieto,"Participio presente di ""mugghiare"".",Il mare mugghiante in tempesta.,Vento mugghiante tra gli alberi.,Folla mugghiante.,Bassa,Letterario,Nessuno,No
,Mugghiare,mugghiàre,Emettere un verso cupo e prolungato (bovini); rumoreggiare (elementi naturali).,Muggire; rumoreggiare; urlare (vento/mare),Tacere; tacitare,"Latino ""mugulare"".",Sentivo le mucche mugghiare nella stalla.,Il tuono mugghiava lontano.,Far mugghiare i motori.,Bassa,Letterario / Comune,Nessuno,No
,Murmure,mùrmure,"Mormorio, sussurro (lieve rumore di acque o fronde).",Mormorio; sussurro; brusio; fruscio,Grido; urlo; silenzio,"Dal latino ""murmur"".",Il murmure delle onde.,Un dolce murmure di voci.,Tra il murmure del vento.,Bassa,Poetico,Nessuno,No
,Muzzo,mùzzo,"Mucchio, massa (in espressioni regionali per indicare 'a caso', 'alla rinfusa').",A caso; alla rinfusa; a mucchio,Ordinatamente; con criterio; selezionato,"Etimologia incerta (forse siciliano ""mizzu"" o latino ""mutius"").",Vendere a muzzo (tutto compreso).,Fare le cose a muzzo (senza criterio).,Parlare a muzzo.,Bassa (Regionale),Colloquiale (Sud Italia),Nessuno,No
,Naif,naìf,"Ingenuo, semplice, primitivo (specie in arte: pittori autodidatti).",Ingenuo; semplice; primitivo; spontaneo,Smiziato; artificioso; complesso; colto,"Dal francese ""naïf"" (ingenuo).",Arte naif.,Stile naif.,È un po' naif nel suo modo di pensare.,Media,Arte / Comune,Naife (italianizzazione rara),No
,Nefasto,nefàsto,"Infausto, che porta sfortuna, funesto (originariamente: giorni in cui non si giudicava).",Infausto; funesto; sventurato; tragico,Fausto; fortunato; felice; propizio,"Dal latino ""nefas"" (illecito religioso).",Un giorno nefasto per la borsa.,L'influenza nefasta della guerra.,Presagi nefasti.,Media,Comune,Nessuno,No
,Neghittoso,neghittóso,"Pigro, indolente, che trascura i propri doveri.",Pigro; indolente; trascurato; inerte,Solerte; attivo; operoso; zelante,"Da ""neghittosa"" (antico: pigrizia).",Stare neghittoso sul divano.,Spirito neghittoso.,Rimproverare i neghittosi.,Bassa,Letterario / Arcaico,Nessuno,No
,Negletto,neglètto,"Trascurato, non curato, dimenticato (di aspetto o dovere).",Trascurato; dimenticato; ignorato; disadorno,Curato; amato; considerato; adorno,"Dal latino ""neglectus"".",Aspetto negletto e disordinato.,Poeta negletto dai critici.,Giardino negletto.,Bassa,Letterario,Nessuno,No
,Neralbo,neràlbo,Bianco e nero (mescolato o a chiazze).,Bianco e nero; screziato,Monocolore,"Composto poetico di ""nero"" e ""albo"" (bianco).",La rondine neralba (Pascoli).,Cielo neralbo prima del temporale.,Termine quasi esclusivamente pascoliano.,Molto bassa,Poetico,Nessuno,No
,Neuma,nèuma,Segno della notazione musicale medievale (gregoriana) indicante l'andamento melodico.,Segno musicale (gregoriano),Nota (moderna),"Dal greco ""neuma"" (cenno).",Leggere i neumi sul manoscritto.,Notazione a neumi.,Il canto gregoriano usa i neumi.,Molto bassa,Musica / Storia,Nessuno,No
,Nocumento,nocuménto,"Danno, pregiudizio.",Danno; pregiudizio; lesione; svantaggio,Vantaggio; beneficio; giovamento; utile,"Dal latino ""nocumentum"".",Recare nocumento alla salute.,Senza nocumento per i diritti altrui.,Tutto ciò fu di grave nocumento.,Bassa,Giuridico / Formale,Nocimento (arcaico),No
,Noùmeno,noùmeno,"(Filosofia) La cosa in sé, la realtà pensabile ma non conoscibile con i sensi (opposto a fenomeno).",(Filos) Cosa in sé; essenza pensabile,Fenomeno; apparenza,"Dal greco ""noumenon"" (ciò che è pensato).",Kant distingue fenomeno e noumeno.,Il noumeno è inconoscibile.,Realtà noumenica.,Molto bassa,Filosofia,Nessuno,No
,Obiettivo,obiettìvo,"Scopo, meta; (Ottica) sistema di lenti; imparziale, realistico (agg.).",Scopo; meta; fine; bersaglio,Mezzo; strumento,"Dal latino ""obiectum"" (oggetto).",Raggiungere l'obiettivo prefissato.,Un'analisi obiettiva dei fatti.,L'obiettivo della macchina fotografica.,Alta,Comune,Obbiettivo (variante accettata ma meno colta),No
,Obliare,obliàre,"Dimenticare, scordare (uso letterario).",Dimenticare; scordare; trascurare,Ricordare; rammentare; serbare,"Dal latino ""oblivisci"".",Obliare i torti subiti.,Chi oblia il passato non ha futuro.,Tempo che tutto oblia.,Bassa,Letterario,Nessuno,No
,Obliarsi,obliàrsi,"Perdere la cognizione di sé e del tempo, immergersi totalmente.",Dimenticarsi; perdersi; astrarsi,Ricordarsi; concentrarsi,"Riflessivo di ""obliare"".",Obliarsi nella contemplazione.,Si era obliato nel lavoro.,Estasi in cui ci si oblia.,Bassa,Letterario,Nessuno,No
